Model,MDO4024C
Firmware Version,1.02

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.2,,,
Horizontal Delay,0,,,
Sample Interval,0.0002,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,10,10,10
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.05,0.05,1
Vertical Position,0,0,0,0
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.500000e-01,-0.00928125,-0.0574453,0.000164063,1.01562
-9.498000e-01,-0.0112578,-0.0654062,-0.000117187,1.51656
-9.496000e-01,-0.00734375,-0.0482812,0.000304687,1.43781
-9.494000e-01,-0.00103125,-0.0112891,0.000890625,0.81375
-9.492000e-01,0.005625,0.0263984,0.00182031,-0.10125
-9.490000e-01,0.0103203,0.0558203,0.00254688,-0.97375
-9.488000e-01,0.0110078,0.0630156,0.003,-1.46969
-9.486000e-01,0.00808594,0.0507109,0.00373438,-1.39266
-9.484000e-01,0.000710937,0.0149922,0.00396875,-0.767031
-9.482000e-01,-0.00599219,-0.0264844,0.00292969,0.141719
-9.480000e-01,-0.0108438,-0.0591484,0.0020625,1.01484
-9.478000e-01,-0.0125391,-0.06775,0.001375,1.51562
-9.476000e-01,-0.00942969,-0.0496641,0.00161719,1.43813
-9.474000e-01,-0.00257813,-0.0109922,0.00291406,0.8125
-9.472000e-01,0.0039375,0.0279219,0.00450781,-0.102344
-9.470000e-01,0.00864063,0.0568594,0.00495313,-0.973281
-9.468000e-01,0.0102422,0.0632969,0.00447656,-1.46891
-9.466000e-01,0.00896094,0.0502734,0.00350781,-1.39094
-9.464000e-01,0.00246094,0.0152891,0.00264063,-0.764844
-9.462000e-01,-0.00414844,-0.0252266,0.00150781,0.141875
-9.460000e-01,-0.0093125,-0.0573672,0.000445313,1.01453
-9.458000e-01,-0.0108516,-0.0652812,0.000242187,1.51422
-9.456000e-01,-0.00785156,-0.0477031,0.00040625,1.43656
-9.454000e-01,-0.00119531,-0.0106641,0.00136719,0.811875
-9.452000e-01,0.00553906,0.0272734,0.00189062,-0.102188
-9.450000e-01,0.0102891,0.0561172,0.00309375,-0.973125
-9.448000e-01,0.0109453,0.0636562,0.00430469,-1.46891
-9.446000e-01,0.007875,0.0513047,0.00463281,-1.39156
-9.444000e-01,0.000929688,0.0151328,0.00435938,-0.765781
-9.442000e-01,-0.00561719,-0.0260703,0.00363281,0.14375
-9.440000e-01,-0.0102422,-0.0589219,0.00260156,1.01828
-9.438000e-01,-0.0126641,-0.0681953,0.00154688,1.51656
-9.436000e-01,-0.00914844,-0.0499609,0.0018125,1.43719
-9.434000e-01,-0.00242187,-0.0109531,0.00334375,0.814063
-9.432000e-01,0.0039375,0.0279531,0.00464062,-0.09875
-9.430000e-01,0.00864844,0.0567031,0.00523438,-0.972969
-9.428000e-01,0.010375,0.0634453,0.00457031,-1.46875
-9.426000e-01,0.0090625,0.0498594,0.00351563,-1.39047
-9.424000e-01,0.00247656,0.0154062,0.0024375,-0.765625
-9.422000e-01,-0.004125,-0.0250859,0.00132813,0.142969
-9.420000e-01,-0.00899219,-0.0570391,0.000453125,1.01641
-9.418000e-01,-0.0113125,-0.0655,0.000203125,1.51594
-9.416000e-01,-0.00764844,-0.0479766,0.000492188,1.43766
-9.414000e-01,-0.00102344,-0.0108984,0.00132813,0.813125
-9.412000e-01,0.00589063,0.0269766,0.00223438,-0.102344
-9.410000e-01,0.0101797,0.0560859,0.00324219,-0.974531
-9.408000e-01,0.0112656,0.0637422,0.00375781,-1.47
-9.406000e-01,0.00815625,0.0512266,0.00409375,-1.39156
-9.404000e-01,0.000929688,0.0154687,0.00435156,-0.765
-9.402000e-01,-0.005875,-0.026,0.00325781,0.145156
-9.400000e-01,-0.0105703,-0.0588672,0.00192187,1.01734
-9.398000e-01,-0.0122266,-0.0675156,0.00153906,1.51516
-9.396000e-01,-0.009125,-0.0494922,0.00171094,1.43609
-9.394000e-01,-0.0025,-0.0107188,0.00290625,0.81375
-9.392000e-01,0.00416406,0.0279688,0.00460156,-0.101875
-9.390000e-01,0.00855469,0.0567734,0.00511719,-0.97375
-9.388000e-01,0.0103906,0.0633125,0.00460937,-1.46813
-9.386000e-01,0.008875,0.0502266,0.00359375,-1.39125
-9.384000e-01,0.00239844,0.0154844,0.00238281,-0.766406
-9.382000e-01,-0.00438281,-0.0248984,0.00142969,0.142656
-9.380000e-01,-0.00926562,-0.057,0.000671875,1.01453
-9.378000e-01,-0.0112031,-0.0648984,0.000289062,1.51438
-9.376000e-01,-0.00775,-0.0473203,0.000625,1.43656
-9.374000e-01,-0.0010625,-0.0106641,0.00123438,0.811094
-9.372000e-01,0.00564844,0.0272344,0.00210156,-0.10125
-9.370000e-01,0.0100703,0.0562891,0.00313281,-0.974688
-9.368000e-01,0.0108594,0.0635859,0.00410938,-1.46906
-9.366000e-01,0.00814063,0.0512813,0.00448438,-1.39172
-9.364000e-01,0.00090625,0.0152109,0.00419531,-0.766406
-9.362000e-01,-0.00592188,-0.0260234,0.0033125,0.1425
-9.360000e-01,-0.0108516,-0.0587422,0.0023125,1.01609
-9.358000e-01,-0.0129297,-0.0679297,0.00186719,1.51594
-9.356000e-01,-0.00935156,-0.0497422,0.00179688,1.43813
-9.354000e-01,-0.00260156,-0.0106406,0.00303906,0.814375
-9.352000e-01,0.00385156,0.02775,0.00398438,-0.100156
-9.350000e-01,0.00809375,0.0566094,0.00495313,-0.973125
-9.348000e-01,0.0101016,0.0632031,0.00475781,-1.46828
-9.346000e-01,0.00916406,0.0504766,0.0035625,-1.38984
-9.344000e-01,0.00251563,0.0155078,0.00254688,-0.764219
-9.342000e-01,-0.00423438,-0.0250156,0.00116406,0.144375
-9.340000e-01,-0.00921094,-0.0572578,0.000367188,1.01828
-9.338000e-01,-0.0109141,-0.0655625,0,1.51672
-9.336000e-01,-0.00772656,-0.0476328,0.000195313,1.4375
-9.334000e-01,-0.00138281,-0.010625,0.00132031,0.815469
-9.332000e-01,0.00553125,0.0273828,0.00196875,-0.0995313
-9.330000e-01,0.0095625,0.0563828,0.00321094,-0.972812
-9.328000e-01,0.0109141,0.0635781,0.00383594,-1.46844
-9.326000e-01,0.00783594,0.0511875,0.004375,-1.39031
-9.324000e-01,0.000671875,0.0149063,0.00435156,-0.764219
-9.322000e-01,-0.00610156,-0.0261953,0.00301563,0.145
-9.320000e-01,-0.0108984,-0.0588906,0.00203125,1.02094
-9.318000e-01,-0.0127813,-0.0675234,0.0013125,1.51672
-9.316000e-01,-0.00947656,-0.0496953,0.0018125,1.43875
-9.314000e-01,-0.00271875,-0.0108047,0.00290625,0.81375
-9.312000e-01,0.00385156,0.0279297,0.00398438,-0.101094
-9.310000e-01,0.00836719,0.0565547,0.00494531,-0.975
-9.308000e-01,0.0102969,0.0631719,0.00453125,-1.46906
-9.306000e-01,0.0091875,0.0501094,0.00345313,-1.39203
-9.304000e-01,0.00242187,0.0154609,0.00276562,-0.765469
-9.302000e-01,-0.00430469,-0.0251328,0.0015625,0.144219
-9.300000e-01,-0.00910156,-0.057125,0.000554688,1.01687
-9.298000e-01,-0.0108438,-0.0653828,0.0003125,1.51531
-9.296000e-01,-0.00778125,-0.0481328,0.000414062,1.43656
-9.294000e-01,-0.00122656,-0.0110547,0.00110156,0.813281
-9.292000e-01,0.00542188,0.0268359,0.002125,-0.103438
-9.290000e-01,0.0104063,0.0561953,0.00302344,-0.975469
-9.288000e-01,0.0109766,0.0632188,0.00367188,-1.46906
-9.286000e-01,0.00792969,0.0507656,0.00423438,-1.39156
-9.284000e-01,0.000859375,0.01525,0.00405469,-0.765781
-9.282000e-01,-0.00582812,-0.0262422,0.00323438,0.145625
-9.280000e-01,-0.0106016,-0.0590234,0.00183594,1.02078
-9.278000e-01,-0.0125078,-0.0677969,0.00150781,1.51531
-9.276000e-01,-0.00900781,-0.0496328,0.00189844,1.43781
-9.274000e-01,-0.00227344,-0.0110078,0.0029375,0.815312
-9.272000e-01,0.00423438,0.02825,0.00442969,-0.0992188
-9.270000e-01,0.00865625,0.0565312,0.00482031,-0.972656
-9.268000e-01,0.0103281,0.0634922,0.0043125,-1.46687
-9.266000e-01,0.00889844,0.0502422,0.00358594,-1.38969
-9.264000e-01,0.00232031,0.0156328,0.0023125,-0.764687
-9.262000e-01,-0.00423438,-0.0251484,0.00136719,0.146406
-9.260000e-01,-0.009,-0.0571172,0.00053125,1.01937
-9.258000e-01,-0.0109375,-0.0653359,0.000421875,1.51703
-9.256000e-01,-0.00774219,-0.048,0.00065625,1.43922
-9.254000e-01,-0.0010625,-0.0107734,0.00154688,0.815469
-9.252000e-01,0.005875,0.0268906,0.00221094,-0.1
-9.250000e-01,0.0102891,0.0557109,0.00302344,-0.973594
-9.248000e-01,0.011125,0.0632266,0.00366406,-1.46625
-9.246000e-01,0.00808594,0.0508125,0.00465625,-1.38813
-9.244000e-01,0.00107813,0.0150391,0.00433594,-0.764375
-9.242000e-01,-0.00588281,-0.0259844,0.00324219,0.146875
